no;abbr;long
729;DYFI;Did you find it?
730;DYFM;Dude, you fascinate me
731;DYJHIW;Don’t you just hate it when…?
732;DYNWUTB;Do you know what you are talking about?
733;DYOR;Do your own research 
735;E1;Everyone
736;E123;Easy as one, two, three
737;E2EG;Ear to ear grin
738;EAK;Eating at keyboard
739;EBKAC;Error between keyboard and chair
740;EBM;Electronic Body Music
741;EBT;Electronic Benefits Transfer
742;ED;Erase display
743;EF4T;Effort
744;EG;Evil grin
745;EI;Eat it
746;EIP;Editing in progress
747;ELI5;Explain like I’m 5
748;ELOL;Evil Laugh Out Loud
749;EM;E-mail  
750;EMA;E-mail address  
751;EMBAR;   Embarassing 
752;EMFBI;Excuse me  fucking in
753;EMFJI;Excuse me  fucking in
754;EMSG;E-mail message
755;ENUF;Enough
756;EOB;End Of Business
757;EOBD;End of Business Day
758;EOC;End Of Conversion
759;EOD;End of discussion
760;EOE;Equal Opportunity Employer
761;EOF;End Of File
762;EOG;End Of Grade
763;EOL;End of lecture
764;EOM;End of Message
765;EOR;End Of Rant
766;EOS;End of show
767;EOT;End of transmission
768;EOTD;End Of The Day
769;EOTW;End Of The World
770;EOTWAWKI;End Of The World As We Know It
771;EOW;End Of Watch
772;EPOS;Electronic Point Of Sale
773;EQ;EverQuest  
774;ES;Erase screen
775;ESA;European Space Agency
776;ESAD;Eat *S* and die!
777;ESB;Empire Stikes Back (Star Wars)
778;ESD;Electro-Static Discharge
779;ESL;English as Second Language
780;ESOL;English for Speakers of Other Languages
781;ESP;Extra Sensory Perception
783;ESRB;Entertainment So fucking Board
784;EST;Eastern Standard Time Established
785;ESTD;Easier Said Than Done
786;ET;Extra Terrestrial
787;ETA;Estimated time (of) arrival
788;ETC;Et Cetera (and so on)
789;ETD;Estimated Time of Departure
790;ETF;Escape The Fate (band)
791;ETID;EveryTime I Die (band)
792;ETW;Enjoy The Weekend
793;EU;European Union
794;EUA;End User Agreement
795;EUC;Excellent Used Condition
796;EULA;End User License Agreement
797;EV;Expected Value
798;EVA;Ever
799;EVO;Evolution
800;EWG;Evil wicked grin (in  fucking)
801;EWI;Emailing while intoxicated
802;EXTRA;  over the top
803;EYC;Excitable, yet calm
804;EZ;Easy
805;EZY;Easy
807;F2F;Face to face
808;F2F or FTF ; Face To Face
809;F2P;Free to play  
810;F4F;Follow for follow (Instagram)
811;FAAK; fucking asleep at keyboard
812;FAB;Fabulous
813;Facepalm;embarrassment 
814;FACK;Full Acknowledge
815;FAF;Funny as *freak*
816;FAM;friends
817;FAQ ; Frequently Asked Questions
818;FAY;*Freak* all you
819;FB;Facebook
820;FBB;Facebook buddy
821;FBC;Facebook chat
822;FBF;Flashback Friday
823;FBFR;FaceBook friend
824;FBM;Fine by me
825;FBO;Facebook official 
826;FBOW;For better or worse
827;FC; fuckingers crossed
828;FC’INGO; fucking out loud
829;FCOL; fucking out loud
830;Feelsbadman;feel negative.
831;Feelsgoodman;feel positive.
832;FEITCTAJ;*Freak* ’em if they can’t take a joke
833;FF ; Follow Friday
834;FFA;Free for all  
835;FFS;For *freak’*sakes
836;FICCL;Frankly I couldn’t care a less
837;FIF;*Freak* I’m funny
838;FIIK;*Freaked* if I know
839;FIIOOH;Forget it, I’m out of here
840;FIL;Father in law
841;FIMH;Forever in my heart
842;FISH;First in, still here
843;FITB;Fill in the blank
844;Finna;Going to
845;Finsta;fake Instagram account 
846;FKA;Formerly known as
847;FML;*Freak* My Life
848;FOAD;*Freak* off and die
849;FOAF;Friend of a friend
850;FOMC; fucking off my chair
851;FOMCL; fucking o fucking
852;FOMO; fucking out (definition)
853;FRT;For real though
854;FTBOMH;From the bottom of my heart
855;FTFY;Fixed that for you
856;FTL;For the loss
857;FTW;For the win
858;FU;*Freak* you
859;FUBAR;Fouled up beyond all recognition
860;FUBB;Fouled up beyond belief
861;FUD;Face up deal  
862;FUTAB;Feet up, take a break
863;FW;Forward
864;FWB;Friend with benefits
865;FWIW;For what it's Worth
866;FWM;Fine with me
867;FWP;First world problems
868;FYA;For Your Amusement
869;FYC;For Your Consideration
870;FYE;For Your Entertainment
871;FYEO;For Your Eyes Only
872;FYI;For Your Information
873;FYK;For Your Knowledge
874;FYM;Free Your Mind
875;FYP;Fixed Your Post
876;FYR;For Your Review For Your Records
877;FYT;For Your Time
879;G O A T;Greatest Of All Time
880;G/F;Girlfriend
881;G+;Google+
882;G2CU;Good to see you
883;G2G;Got to go
884;G2GICYAL8ER;Got to go I’ll see you later
885;G2R;Got to run
886;G2TU;Got to tell u (you)
887;G4C;Going for coffee
888;G9;Genius
889;GA;Go Ahead
